article_link,body_text,pub_date,title,clean_text,damage_level,school
http://sn4hr.org/blog/2017/10/31/syrian-regime-forces-shelled-mohammad-naser-ashoush-primary-school-jisreen-town-damascus-suburbs-governorate-october-31/,"
snhr: syrian regime artillery fired shells in front of mohammad naser ash’oush primary school in jisreen town in eastern ghouta in damascus suburbs governorate, causing a massacre, in addition to damaging the school building and furniture partially, on october 31, 2017.
","October 31, 2017",syrian regime forces shelled mohammad naser ash’oush primary school in jisreen town in damascus suburbs governorate on october 31,snhr syrian regime artillery fired shells in front of mohammad naser ashoush primary school in jisreen town in eastern ghouta in damascus suburbs governorate causing a massacre in addition to damaging the school building and furniture partially on october  ,partially,no school found
http://sn4hr.org/blog/2017/10/25/syrian-regime-forces-shelled-school-al-boukamal-city-deir-ez-zour-governorate-october-24/,"
snhr: syrian regime warplanes fired several missiles near al baath school in al boukamal city in deir ez-zour governorate eastern suburbs, damaging it, on october 24, 2017.
","October 25, 2017",syrian regime forces shelled school in al boukamal city in deir ez-zour governorate on october 24,snhr syrian regime warplanes fired several missiles near al baath school in al boukamal city in deir ezzour governorate eastern suburbs damaging it on october  ,damaging,al baath school
http://sn4hr.org/blog/2017/10/18/syrian-regime-forces-shelled-hamoud-al-dabet-school-gharaneej-city-deir-ez-zour-governorate-october-18/,"
snhr: syrian regime warplanes fired missiles near hamoud al dabet school in gharaneej city in deir ez-zour governorate eastern suburbs, damaging it, october 18, 2017.
","October 18, 2017",syrian regime forces shelled hamoud al dabet school in gharaneej city in deir ez-zour governorate on october 18,snhr syrian regime warplanes fired missiles near hamoud al dabet school in gharaneej city in deir ezzour governorate eastern suburbs damaging it october  ,damaging,hamoud al dabet school
http://sn4hr.org/blog/2017/10/15/suspected-russian-forces-shelled-tahtaya-primary-school-tahtaya-village-idlib-governorate-october-15/,"
snhr: suspected russian warplanes fired missiles on tahtaya primary school in al shamali neighborhood in tahtaya village in idlib governorate southern suburbs, severely damaging its building and fence, damaging its furniture and rendering it inoperable on october 15, 2017.
","October 15, 2017",suspected russian forces shelled tahtaya primary school in tahtaya village in idlib governorate on october 15,snhr suspected russian warplanes fired missiles on tahtaya primary school in al shamali neighborhood in tahtaya village in idlib governorate southern suburbs severely damaging its building and fence damaging its furniture and rendering it inoperable on october  ,severely damaging,tahtaya primary school
http://sn4hr.org/blog/2017/10/07/syrian-regime-forces-shelled-al-hamzat-school-gharbiya-village-deir-ez-zour-governorate-october-7/,"
snhr: syrian regime warplanes fired missiles near al hamzat school in gharbiya village in deir ez-zour governorate eastern suburbs, partially damaging it, on october 7, 2017.
","October 7, 2017",syrian regime forces shelled al hamzat school in gharbiya village in deir ez-zour governorate on october 7,snhr syrian regime warplanes fired missiles near al hamzat school in gharbiya village in deir ezzour governorate eastern suburbs partially damaging it on october  ,partially damaging,al hamzat school
http://sn4hr.org/blog/2017/10/12/syrian-regime-forces-shelled-secondary-school-girls-anadan-city-aleppo-governorate-october-12/,"
snhr: syrian regime artillery fired mortar shells on the secondary school for girls in al sharqi neighborhood in anadan city in aleppo governorate northern suburbs, partially damaging its building on october 12, 2017.
","October 12, 2017",syrian regime forces shelled the secondary school for girls in anadan city in aleppo governorate on october 12,snhr syrian regime artillery fired mortar shells on the secondary school for girls in al sharqi neighborhood in anadan city in aleppo governorate northern suburbs partially damaging its building on october  ,partially damaging,the secondary school
http://sn4hr.org/blog/2017/10/06/syrian-regime-forces-shelled-al-hlubba-primary-school-al-hlubba-village-idlib-governorate-october-6/,"
snhr: syrian regime warplanes fired missiles on al hlubba primary school south of al hlubba village in idlib governorate eastern suburbs, partially destroying its fence on october 6, 2017.
","October 6, 2017",syrian regime forces shelled al hlubba primary school in al hlubba village in idlib governorate on october 6,snhr syrian regime warplanes fired missiles on al hlubba primary school south of al hlubba village in idlib governorate eastern suburbs partially destroying its fence on october  ,partially,al hlubba primary school
http://sn4hr.org/blog/2017/10/01/syrian-regime-forces-shelled-baydan-school-gharanij-town-deir-ez-zour-governorate-september-30/,"
snhr: syrian regime warplanes fired missiles on baydan school in gharanij town in deir ez-zour governorate eastern suburbs, partially damaging its fence on september 30, 2017.
","October 1, 2017",syrian regime forces shelled baydan school in gharanij town in deir ez-zour governorate on september 30,snhr syrian regime warplanes fired missiles on baydan school in gharanij town in deir ezzour governorate eastern suburbs partially damaging its fence on september  ,partially damaging,baydan school
http://sn4hr.org/blog/2017/09/29/suspected-russian-forces-shelled-qouqinya-secondary-school-qouqinya-village-idlib-governorate-september-29/,"
snhr: suspected russian warplanes missiles fired on qourqinya school secondary school in qourqinya village in in idlib governorate northern suburbs, partially destroying its building and damaging its furniture on september 29, 2017.
","September 29, 2017",suspected russian forces shelled qouqinya secondary school in qouqinya village in idlib governorate on september 29,snhr suspected russian warplanes missiles fired on qourqinya school secondary school in qourqinya village in in idlib governorate northern suburbs partially destroying its building and damaging its furniture on september  ,partially,qourqinya school
http://sn4hr.org/blog/2017/09/27/suspected-russian-forces-shelled-school-qanater-village-aleppo-governorate-september-26/,"
snhr: suspected russian warplanes fired a missile on qanater village school in aleppo governorate western suburbs, damaging it severely and rendering it inoperable on september 26, 2017.
","September 27, 2017",suspected russian forces shelled a school in qanater village in aleppo governorate on september 26,snhr suspected russian warplanes fired a missile on qanater village school in aleppo governorate western suburbs damaging it severely and rendering it inoperable on september  ,severely,qanater village school
